	param_00	param_01	param_02	param_03	param_04	param_05	param_06	param_07	param_08	param_09	param_10	param_11	param_12	param_13	param_14	param_15	param_16	param_17	param_18	param_19
000029.txt	1.5299999999999998	0.030000000000000027	300.03000000000003	400	400	112.79	0.12	0.15999999999999992	400	3.4899999999999998	6.91	3.83	0.32999999999999985	300.02	3.2800000000000002	1.11	0.030000000000000027	300.02	300.01	0.07000000000000006
000030.txt	157.88	0.17000000000000004	300.03000000000003	400	300.02	58.62	19.830000000000002	0.66	300.02	4.71	7.450000000000001	400	400	300.04	10.8	24.65	2.1100000000000003	300.03	300.02	18.38
000031.txt	0.8599999999999999	0.08000000000000007	300.03	400	300.02	18.93	0.21999999999999997	0.19999999999999996	400	2.01	6.550000000000001	1.44	0.51	4.09	6.66	14.879999999999999	2.47	300.02	300.01	3.99
000032.txt	11.950000000000001	0.08000000000000007	300.02	400	135.19	26.83	0.29000000000000004	0.17999999999999994	400	2.62	7.53	1.76	0.72	300.02	0.07000000000000006	0.42000000000000015	0.04999999999999982	300.02	400	118.42999999999999
000033.txt	5.44	0.039999999999999813	0.1100000000000001	400	6.39	21.93	0.09000000000000008	0.1499999999999999	16.31	2.4699999999999998	4.13	0.1499999999999999	0.34999999999999987	0.09999999999999987	4.84	0.050000000000000044	2.35	300.02	400	0.06000000000000005
000034.txt	17.48	3.06	300.04	400	400	58.87	0.13	0.20999999999999985	400	3.68	10.690000000000001	75.04	0.41999999999999993	300.02	3.3600000000000003	14.510000000000002	0.1299999999999999	300.08	300.01	17.95
000035.txt	6.02	0.1399999999999999	300.02000000000004	400	400	88.48	5.19	0.25	30.099999999999998	1.2799999999999998	5.619999999999999	2.32	400	2.42	5.64	0.34999999999999987	2.42	300.04	300.01	0.1299999999999999
000036.txt	34.11	0.08000000000000007	300.02	400	400	115.92	15.179999999999998	0.22000000000000008	300.02	2.5	5.15	43.839999999999996	87.72	300.02	2.8899999999999997	1.4599999999999997	0.11999999999999988	300.06	400	0.16000000000000014
000037.txt	20.48	0.040000000000000036	300.02000000000004	400	400	80.00999999999999	0.1499999999999999	0.15999999999999992	3.9700000000000006	2.3600000000000003	4.73	2.91	0.31000000000000005	2.13	5.06	0.18999999999999995	2.21	300.02	400	0.07000000000000006
000038.txt	47.910000000000004	0.08000000000000007	300.03	400	400	59.74	0.30999999999999994	0.19000000000000006	9.67	3.75	5.61	4.7	0.35	300.02	7.969999999999999	5.79	4.41	300.01	300.01	0.16000000000000014
000039.txt	0.030000000000000027	0.05999999999999983	300.02000000000004	0.28	0.1200000000000001	3.2800000000000002	0.24	0.11999999999999988	0.040000000000000036	0.07000000000000006	1.0799999999999998	0.1299999999999999	0.40000000000000013	0.07000000000000006	0.030000000000000027	0.08999999999999986	0.030000000000000027	0.43999999999999995	400	0.06999999999999984
000040.txt	11.86	1.6199999999999997	300.02000000000004	400	400	64.57000000000001	0.17999999999999994	0.10000000000000009	21.79	3.5199999999999996	8.629999999999999	6.8100000000000005	400	300.02	8.26	0.040000000000000036	3.9400000000000004	300.02000000000004	300.01	0.04999999999999993
000041.txt	1.1399999999999997	0.06999999999999995	300.02	400	400	45.69	12.620000000000001	0.16000000000000003	9.579999999999998	3.5300000000000002	7.839999999999999	3.87	0.3799999999999999	300.02	13.16	0.039999999999999925	4.1000000000000005	300.03000000000003	400	0.22000000000000008
