	CPU_Param_1	CPU_Param_2	CPU_Param_3	CPU_Param_4	CPU_Param_5	CPU_Param_6	CPU_Param_7	CPU_Param_8	CPU_Param_9	CPU_Param_10	CPU_Param_11	CPU_Param_12	CPU_Param_13	CPU_Param_14	CPU_Param_15	CPU_Param_16	CPU_Param_17	CPU_Param_18	CPU_Param_119	CPU_Param_20
SWGCP_only_5000/SWlin2006.16185.cnf	0.14	0.42	0.04	0.06	0.04	0.2	0.08	0.2	0.3	0.24	0.06	0.34	0.4	0.28	0.08	0.04	0.04	0.06	0.02	0.62
SWGCP_only_5000/SWlin2006.16186.cnf	0.1	0.08	0.08	0.08	0.06	0.04	0.08	0.08	0.16	0.04	0.1	0.22	0.08	0.02	0.06	0.4	0.06	0.08	0.7	0.98
SWGCP_only_5000/SWlin2006.16187.cnf	0.26	0.54	0.1	0.1	0.32	0.34	0.12	0.32	0.56	0.34	0.14	0.66	0.82	0.52	0.12	0.46	0.26	0.1	1.0	1.72
SWGCP_only_5000/SWlin2006.16188.cnf	0.2	0.38	0.08	0.06	0.28	0.32	0.1	0.26	0.42	0.3	0.1	0.5	0.74	0.38	0.1	0.38	0.24	0.1	0.68	1.04
SWGCP_only_5000/SWlin2006.16189.cnf	0.24	0.74	0.1	0.1	0.1	0.36	0.1	0.32	0.48	0.42	0.1	0.54	0.84	0.1	0.1	0.34	0.26	0.1	0.68	1.42
SWGCP_only_5000/SWlin2006.16190.cnf	0.14	0.34	0.06	0.08	0.26	0.22	0.04	0.22	0.3	0.0	0.08	0.4	0.52	0.04	0.08	0.3	0.18	0.08	0.54	0.7
SWGCP_only_5000/SWlin2006.16191.cnf	0.14	0.42	0.08	0.04	0.24	0.22	0.08	0.22	0.28	0.24	0.04	0.38	0.5	0.32	0.06	0.28	0.16	0.08	0.5	0.7
SWGCP_only_5000/SWlin2006.16192.cnf	0.24	0.36	0.1	0.1	0.36	0.38	0.08	0.32	0.28	0.38	0.12	0.44	0.44	0.36	0.1	0.46	0.26	0.12	0.58	1.68
SWGCP_only_5000/SWlin2006.16193.cnf	0.16	0.4	0.06	0.06	0.26	0.26	0.08	0.26	0.26	0.26	0.1	0.36	0.56	0.38	0.06	0.38	0.2	0.08	0.64	0.9
SWGCP_only_5000/SWlin2006.16194.cnf	0.18	0.1	0.08	0.08	0.3	0.3	0.1	0.28	0.28	0.28	0.06	0.36	0.84	0.34	0.06	0.44	0.2	0.12	0.1	1.1
