	CPU_Param_1	CPU_Param_2	CPU_Param_3	CPU_Param_4	CPU_Param_5	CPU_Param_6	CPU_Param_7	CPU_Param_8	CPU_Param_9	CPU_Param_10	CPU_Param_11	CPU_Param_12	CPU_Param_13	CPU_Param_14	CPU_Param_15	CPU_Param_16	CPU_Param_17	CPU_Param_18	CPU_Param_119	CPU_Param_20
SWGCP_only_5000/SWlin2006.15100.cnf	0.04	0.02	0.04	0.06	0.18	0.1	0.02	0.04	0.1	0.02	0.08	0.2	0.02	0.0	0.06	0.04	0.0	0.06	0.02	0.48
SWGCP_only_5000/SWlin2006.15101.cnf	0.12	0.48	0.06	0.06	0.22	0.24	0.08	0.2	0.28	0.24	0.08	0.38	0.46	0.34	0.06	0.32	0.14	0.06	0.56	0.78
SWGCP_only_5000/SWlin2006.15102.cnf	0.2	0.64	0.1	0.1	0.42	0.36	0.1	0.4	0.38	0.12	0.1	0.58	0.82	0.4	0.1	0.5	0.28	0.08	0.7	1.76
SWGCP_only_5000/SWlin2006.15103.cnf	0.12	0.18	0.06	0.04	0.18	0.16	0.08	0.16	0.18	0.18	0.06	0.2	0.22	0.18	0.06	0.2	0.12	0.08	0.3	0.56
SWGCP_only_5000/SWlin2006.15104.cnf	0.16	0.48	0.06	0.06	0.3	0.24	0.02	0.22	0.3	0.24	0.1	0.26	0.04	0.18	0.06	0.32	0.2	0.08	0.6	0.84
SWGCP_only_5000/SWlin2006.15105.cnf	0.22	0.26	0.06	0.12	0.34	0.4	0.08	0.34	0.28	0.32	0.12	0.48	0.32	0.28	0.1	0.42	0.22	0.1	0.64	1.62
SWGCP_only_5000/SWlin2006.15106.cnf	0.26	0.88	0.1	0.12	0.42	0.4	0.14	0.4	0.48	0.22	0.14	0.76	0.68	0.5	0.12	0.6	0.32	0.12	0.8	1.94
SWGCP_only_5000/SWlin2006.15107.cnf	0.22	0.34	0.1	0.1	0.36	0.42	0.12	0.4	0.38	0.36	0.12	0.48	0.68	0.62	0.12	0.5	0.3	0.12	0.82	1.6
SWGCP_only_5000/SWlin2006.15108.cnf	0.26	0.5	0.1	0.12	0.4	0.36	0.14	0.36	0.32	0.34	0.12	0.5	0.62	0.48	0.12	0.48	0.24	0.12	0.94	1.8
SWGCP_only_5000/SWlin2006.15109.cnf	0.24	0.42	0.06	0.1	0.36	0.32	0.1	0.3	0.56	0.44	0.14	0.62	0.92	0.56	0.1	0.56	0.26	0.1	0.64	1.54
SWGCP_only_5000/SWlin2006.15110.cnf	0.16	0.58	0.08	0.08	0.3	0.26	0.08	0.26	0.34	0.24	0.1	0.4	0.7	0.4	0.06	0.38	0.22	0.08	0.64	0.94
SWGCP_only_5000/SWlin2006.15111.cnf	0.22	0.26	0.1	0.1	0.36	0.38	0.12	0.3	0.26	0.34	0.12	0.6	0.36	0.3	0.12	0.4	0.22	0.1	0.84	1.56
SWGCP_only_5000/SWlin2006.15112.cnf	0.14	0.24	0.06	0.06	0.2	0.2	0.08	0.16	0.22	0.18	0.06	0.26	0.28	0.24	0.04	0.26	0.12	0.06	0.44	0.64
SWGCP_only_5000/SWlin2006.15113.cnf	0.22	0.08	0.08	0.08	0.06	0.32	0.1	0.14	0.34	0.34	0.08	0.42	0.16	0.28	0.08	0.26	0.24	0.06	0.26	1.12
SWGCP_only_5000/SWlin2006.15114.cnf	0.1	0.0	0.04	0.06	0.22	0.04	0.08	0.1	0.0	0.02	0.08	0.04	0.0	0.18	0.06	0.06	0.04	0.06	0.32	0.68
SWGCP_only_5000/SWlin2006.15115.cnf	0.2	0.5	0.06	0.1	0.36	0.34	0.1	0.3	0.38	0.38	0.12	0.6	0.78	0.5	0.1	0.38	0.28	0.08	0.68	1.3
SWGCP_only_5000/SWlin2006.15116.cnf	0.0	0.02	0.08	0.06	0.04	0.18	0.08	0.14	0.02	0.06	0.06	0.04	0.06	0.04	0.06	0.02	0.04	0.06	0.4	0.66
SWGCP_only_5000/SWlin2006.15117.cnf	0.2	0.44	0.08	0.08	0.26	0.36	0.1	0.28	0.42	0.38	0.1	0.48	0.32	0.28	0.08	0.42	0.22	0.1	0.56	1.32
SWGCP_only_5000/SWlin2006.15118.cnf	0.12	0.3	0.06	0.04	0.16	0.16	0.08	0.16	0.22	0.2	0.06	0.28	0.38	0.26	0.06	0.22	0.14	0.06	0.34	0.5
SWGCP_only_5000/SWlin2006.15119.cnf	0.12	0.26	0.06	0.04	0.18	0.14	0.06	0.16	0.18	0.18	0.06	0.22	0.26	0.24	0.06	0.2	0.12	0.06	0.32	0.5
SWGCP_only_5000/SWlin2006.15120.cnf	0.18	0.32	0.06	0.08	0.22	0.24	0.08	0.2	0.3	0.28	0.08	0.34	0.44	0.26	0.08	0.34	0.2	0.08	0.56	0.82
SWGCP_only_5000/SWlin2006.15121.cnf	0.06	0.6	0.08	0.08	0.28	0.3	0.08	0.28	0.36	0.3	0.1	0.52	0.72	0.46	0.08	0.36	0.22	0.08	0.56	1.04
SWGCP_only_5000/SWlin2006.15122.cnf	0.26	0.84	0.1	0.12	0.42	0.36	0.12	0.38	0.36	0.38	0.1	0.56	0.7	0.46	0.12	0.48	0.28	0.1	0.58	1.52
SWGCP_only_5000/SWlin2006.15123.cnf	0.06	0.38	0.08	0.08	0.3	0.26	0.1	0.28	0.3	0.18	0.1	0.48	0.5	0.44	0.08	0.34	0.18	0.08	0.68	0.98
SWGCP_only_5000/SWlin2006.15124.cnf	0.16	0.36	0.06	0.06	0.22	0.24	0.06	0.2	0.24	0.24	0.06	0.32	0.38	0.3	0.06	0.3	0.16	0.1	0.34	0.72
SWGCP_only_5000/SWlin2006.15125.cnf	0.22	0.26	0.1	0.08	0.36	0.3	0.12	0.28	0.3	0.34	0.12	0.42	0.5	0.32	0.1	0.42	0.22	0.08	0.62	1.26
SWGCP_only_5000/SWlin2006.15126.cnf	0.2	0.34	0.08	0.08	0.28	0.32	0.1	0.24	0.32	0.3	0.12	0.38	0.44	0.3	0.1	0.36	0.22	0.1	0.72	1.26
SWGCP_only_5000/SWlin2006.15127.cnf	0.18	0.84	0.1	0.12	0.4	0.3	0.12	0.28	0.14	0.4	0.1	0.58	0.68	0.44	0.1	0.52	0.22	0.12	0.64	1.62
SWGCP_only_5000/SWlin2006.15128.cnf	0.1	0.1	0.06	0.08	0.14	0.14	0.06	0.1	0.1	0.14	0.08	0.2	0.14	0.12	0.04	0.2	0.1	0.06	0.3	0.44
SWGCP_only_5000/SWlin2006.15129.cnf	0.22	0.82	0.1	0.1	0.4	0.36	0.12	0.36	0.52	0.2	0.12	0.62	1.0	0.48	0.1	0.5	0.2	0.1	0.9	1.56
SWGCP_only_5000/SWlin2006.15130.cnf	0.24	0.72	0.08	0.08	0.34	0.4	0.1	0.38	0.38	0.16	0.12	0.58	0.42	0.48	0.08	0.46	0.26	0.12	0.88	1.44
SWGCP_only_5000/SWlin2006.15131.cnf	0.14	0.06	0.04	0.06	0.02	0.16	0.06	0.0	0.0	0.0	0.06	0.26	0.02	0.16	0.04	0.2	0.1	0.08	0.06	0.46
SWGCP_only_5000/SWlin2006.15132.cnf	0.14	0.46	0.06	0.06	0.28	0.1	0.08	0.26	0.02	0.28	0.08	0.38	0.56	0.38	0.06	0.08	0.1	0.08	0.1	0.88
SWGCP_only_5000/SWlin2006.15133.cnf	0.14	0.4	0.08	0.06	0.22	0.22	0.08	0.2	0.26	0.26	0.08	0.12	0.54	0.32	0.08	0.28	0.1	0.1	0.28	0.72
SWGCP_only_5000/SWlin2006.15134.cnf	0.02	0.02	0.04	0.04	0.18	0.12	0.02	0.02	0.0	0.0	0.08	0.02	0.0	0.0	0.02	0.02	0.02	0.08	0.08	0.44
SWGCP_only_5000/SWlin2006.15135.cnf	0.14	0.16	0.06	0.04	0.22	0.22	0.08	0.16	0.22	0.22	0.06	0.34	0.2	0.16	0.06	0.28	0.14	0.1	0.36	0.72
SWGCP_only_5000/SWlin2006.15136.cnf	0.16	0.18	0.06	0.08	0.28	0.22	0.06	0.22	0.34	0.04	0.08	0.04	0.1	0.04	0.06	0.3	0.12	0.08	0.08	0.76
SWGCP_only_5000/SWlin2006.15137.cnf	0.2	0.46	0.1	0.1	0.4	0.38	0.1	0.38	0.12	0.44	0.14	0.62	0.08	0.1	0.1	0.56	0.32	0.1	0.96	1.56
SWGCP_only_5000/SWlin2006.15138.cnf	0.24	0.84	0.08	0.08	0.34	0.34	0.14	0.08	0.04	0.36	0.12	0.1	0.34	0.54	0.12	0.52	0.3	0.12	0.24	1.52
SWGCP_only_5000/SWlin2006.15139.cnf	0.28	0.52	0.1	0.12	0.42	0.5	0.12	0.4	0.44	0.56	0.14	0.72	1.08	0.54	0.12	0.52	0.26	0.1	0.84	1.88
SWGCP_only_5000/SWlin2006.15140.cnf	0.28	0.14	0.12	0.14	0.46	0.12	0.14	0.38	0.56	0.52	0.12	0.72	0.34	0.76	0.14	0.46	0.34	0.1	1.18	1.94
SWGCP_only_5000/SWlin2006.15141.cnf	0.1	0.32	0.06	0.06	0.2	0.18	0.06	0.18	0.24	0.2	0.08	0.28	0.36	0.26	0.06	0.24	0.16	0.06	0.4	0.54
SWGCP_only_5000/SWlin2006.15142.cnf	0.24	0.66	0.08	0.08	0.38	0.34	0.12	0.28	0.46	0.4	0.14	0.56	0.14	0.36	0.1	0.52	0.22	0.12	0.56	1.52
SWGCP_only_5000/SWlin2006.15143.cnf	0.2	0.24	0.08	0.1	0.34	0.34	0.12	0.3	0.24	0.36	0.12	0.5	0.3	0.26	0.08	0.34	0.2	0.1	0.74	1.48
SWGCP_only_5000/SWlin2006.15144.cnf	0.16	0.38	0.04	0.06	0.2	0.22	0.06	0.16	0.28	0.22	0.08	0.34	0.46	0.3	0.06	0.28	0.16	0.1	0.42	0.66
SWGCP_only_5000/SWlin2006.15145.cnf	0.18	0.46	0.08	0.06	0.26	0.22	0.08	0.22	0.2	0.28	0.08	0.44	0.6	0.28	0.06	0.32	0.18	0.1	0.5	0.84
SWGCP_only_5000/SWlin2006.15146.cnf	0.12	0.36	0.04	0.06	0.2	0.18	0.08	0.16	0.24	0.2	0.08	0.3	0.46	0.3	0.08	0.22	0.14	0.06	0.38	0.6
SWGCP_only_5000/SWlin2006.15147.cnf	0.16	0.36	0.04	0.06	0.22	0.2	0.06	0.2	0.24	0.26	0.06	0.36	0.36	0.32	0.06	0.28	0.18	0.08	0.46	0.7
SWGCP_only_5000/SWlin2006.15148.cnf	0.14	0.72	0.1	0.08	0.36	0.38	0.1	0.32	0.46	0.42	0.12	0.22	0.2	0.5	0.1	0.38	0.24	0.1	0.94	1.44
SWGCP_only_5000/SWlin2006.15149.cnf	0.18	0.54	0.08	0.06	0.28	0.28	0.08	0.28	0.4	0.3	0.08	0.46	0.62	0.42	0.08	0.34	0.22	0.08	0.64	0.92
SWGCP_only_5000/SWlin2006.15150.cnf	0.22	0.44	0.08	0.12	0.46	0.46	0.14	0.44	0.38	0.38	0.14	0.6	0.56	0.64	0.1	0.44	0.32	0.12	1.0	1.96
SWGCP_only_5000/SWlin2006.15151.cnf	0.24	0.44	0.1	0.1	0.4	0.46	0.12	0.42	0.52	0.36	0.14	0.7	0.86	0.4	0.08	0.44	0.18	0.1	0.76	1.7
SWGCP_only_5000/SWlin2006.15152.cnf	0.22	0.44	0.08	0.1	0.4	0.3	0.1	0.32	0.14	0.28	0.1	0.54	0.88	0.08	0.08	0.42	0.18	0.1	0.84	1.34
SWGCP_only_5000/SWlin2006.15153.cnf	0.24	0.1	0.1	0.1	0.42	0.36	0.12	0.42	0.56	0.2	0.14	0.64	0.72	0.46	0.1	0.54	0.3	0.12	0.18	1.74
SWGCP_only_5000/SWlin2006.15154.cnf	0.08	0.02	0.06	0.08	0.12	0.06	0.06	0.08	0.12	0.24	0.08	0.04	0.06	0.1	0.06	0.04	0.12	0.08	0.5	0.68
SWGCP_only_5000/SWlin2006.15155.cnf	0.18	0.36	0.08	0.08	0.24	0.22	0.1	0.22	0.34	0.28	0.1	0.42	0.6	0.32	0.08	0.32	0.2	0.1	0.54	0.84
SWGCP_only_5000/SWlin2006.15156.cnf	0.28	0.72	0.1	0.12	0.52	0.42	0.12	0.4	0.42	0.52	0.12	0.46	0.82	0.54	0.12	0.54	0.3	0.12	0.84	1.9
SWGCP_only_5000/SWlin2006.15157.cnf	0.22	0.22	0.12	0.1	0.4	0.44	0.14	0.38	0.38	0.42	0.12	0.58	0.34	0.32	0.1	0.52	0.2	0.12	0.84	1.94
SWGCP_only_5000/SWlin2006.15158.cnf	0.2	0.6	0.08	0.08	0.3	0.06	0.08	0.28	0.06	0.32	0.1	0.5	0.04	0.48	0.08	0.42	0.16	0.1	0.06	1.1
SWGCP_only_5000/SWlin2006.15159.cnf	0.2	0.32	0.08	0.08	0.34	0.32	0.1	0.3	0.36	0.38	0.1	0.56	0.72	0.44	0.08	0.36	0.22	0.1	0.56	1.22
SWGCP_only_5000/SWlin2006.15160.cnf	0.2	0.4	0.1	0.12	0.34	0.36	0.14	0.34	0.44	0.32	0.12	0.52	0.42	0.4	0.08	0.42	0.24	0.1	0.96	1.52
SWGCP_only_5000/SWlin2006.15161.cnf	0.1	0.22	0.04	0.08	0.16	0.2	0.08	0.06	0.04	0.24	0.06	0.32	0.02	0.2	0.06	0.08	0.04	0.06	0.52	0.7
SWGCP_only_5000/SWlin2006.15162.cnf	0.22	0.24	0.1	0.08	0.4	0.34	0.12	0.32	0.3	0.34	0.12	0.5	0.32	0.3	0.08	0.46	0.18	0.08	0.52	1.6
SWGCP_only_5000/SWlin2006.15163.cnf	0.22	0.56	0.06	0.06	0.32	0.34	0.06	0.3	0.42	0.18	0.12	0.48	0.06	0.1	0.1	0.46	0.24	0.08	0.5	1.24
SWGCP_only_5000/SWlin2006.15164.cnf	0.34	0.72	0.1	0.12	0.34	0.48	0.14	0.4	0.14	0.34	0.14	0.74	0.9	0.48	0.12	0.5	0.32	0.1	1.02	2.02
SWGCP_only_5000/SWlin2006.15165.cnf	0.18	0.22	0.08	0.08	0.26	0.28	0.1	0.3	0.3	0.3	0.1	0.36	0.28	0.32	0.06	0.34	0.16	0.1	0.5	1.18
SWGCP_only_5000/SWlin2006.15166.cnf	0.18	0.28	0.1	0.1	0.28	0.34	0.1	0.26	0.3	0.32	0.1	0.48	0.38	0.28	0.06	0.4	0.18	0.1	0.8	1.22
SWGCP_only_5000/SWlin2006.15167.cnf	0.2	0.48	0.08	0.06	0.34	0.12	0.08	0.24	0.4	0.3	0.1	0.44	0.5	0.08	0.08	0.06	0.22	0.1	0.54	1.0
SWGCP_only_5000/SWlin2006.15168.cnf	0.22	0.32	0.08	0.08	0.34	0.26	0.1	0.28	0.34	0.32	0.1	0.54	0.58	0.38	0.06	0.4	0.2	0.08	0.56	1.16
SWGCP_only_5000/SWlin2006.15169.cnf	0.14	0.26	0.06	0.06	0.2	0.18	0.08	0.18	0.22	0.2	0.06	0.28	0.34	0.22	0.06	0.26	0.16	0.06	0.4	0.6
SWGCP_only_5000/SWlin2006.15170.cnf	0.24	0.36	0.08	0.12	0.38	0.38	0.12	0.34	0.34	0.38	0.1	0.4	0.6	0.42	0.1	0.56	0.26	0.12	0.72	1.54
SWGCP_only_5000/SWlin2006.15171.cnf	0.24	0.66	0.1	0.12	0.4	0.34	0.12	0.36	0.64	0.46	0.12	0.64	0.58	0.7	0.1	0.46	0.32	0.12	1.0	1.72
SWGCP_only_5000/SWlin2006.15172.cnf	0.22	0.26	0.12	0.1	0.34	0.32	0.1	0.36	0.48	0.16	0.1	0.7	0.9	0.54	0.1	0.54	0.12	0.1	0.62	1.38
SWGCP_only_5000/SWlin2006.15173.cnf	0.26	0.46	0.1	0.12	0.38	0.44	0.14	0.38	0.48	0.42	0.14	0.54	0.58	0.36	0.1	0.52	0.28	0.08	0.72	1.9
SWGCP_only_5000/SWlin2006.15174.cnf	0.2	0.04	0.1	0.08	0.08	0.12	0.1	0.04	0.38	0.36	0.12	0.5	0.76	0.42	0.08	0.1	0.06	0.08	0.16	1.1
SWGCP_only_5000/SWlin2006.15175.cnf	0.26	0.04	0.1	0.1	0.38	0.34	0.1	0.22	0.34	0.14	0.12	0.64	0.92	0.42	0.1	0.54	0.28	0.1	0.74	1.48
SWGCP_only_5000/SWlin2006.15176.cnf	0.12	0.16	0.06	0.06	0.16	0.16	0.06	0.14	0.16	0.16	0.06	0.22	0.16	0.16	0.04	0.16	0.12	0.08	0.3	0.56
SWGCP_only_5000/SWlin2006.15177.cnf	0.2	0.28	0.06	0.08	0.26	0.32	0.08	0.28	0.34	0.24	0.1	0.5	0.64	0.42	0.08	0.4	0.22	0.08	0.72	1.14
SWGCP_only_5000/SWlin2006.15178.cnf	0.28	0.5	0.12	0.12	0.52	0.44	0.12	0.36	0.48	0.44	0.12	0.72	0.88	0.32	0.1	0.62	0.32	0.12	0.86	1.84
SWGCP_only_5000/SWlin2006.15179.cnf	0.24	0.72	0.1	0.1	0.42	0.4	0.12	0.4	0.42	0.34	0.1	0.68	0.88	0.58	0.08	0.46	0.26	0.1	0.86	1.6
SWGCP_only_5000/SWlin2006.15180.cnf	0.26	0.52	0.08	0.1	0.38	0.4	0.12	0.34	0.44	0.32	0.12	0.7	0.86	0.4	0.1	0.48	0.24	0.1	0.78	1.54
SWGCP_only_5000/SWlin2006.15181.cnf	0.22	0.54	0.08	0.12	0.34	0.36	0.12	0.38	0.38	0.38	0.1	0.54	0.84	0.5	0.1	0.36	0.26	0.1	0.72	1.5
SWGCP_only_5000/SWlin2006.15182.cnf	0.2	0.08	0.08	0.08	0.32	0.28	0.08	0.28	0.46	0.36	0.08	0.5	0.6	0.44	0.1	0.5	0.04	0.1	0.8	1.28
SWGCP_only_5000/SWlin2006.15183.cnf	0.26	0.42	0.1	0.1	0.42	0.34	0.12	0.38	0.08	0.38	0.14	0.56	0.68	0.58	0.1	0.54	0.26	0.12	0.74	1.52
SWGCP_only_5000/SWlin2006.15184.cnf	0.22	0.5	0.08	0.08	0.38	0.32	0.1	0.36	0.36	0.44	0.1	0.7	0.58	0.58	0.1	0.26	0.24	0.12	0.92	1.48
SWGCP_only_5000/SWlin2006.15185.cnf	0.1	0.26	0.04	0.08	0.16	0.14	0.04	0.16	0.18	0.14	0.06	0.24	0.32	0.2	0.06	0.18	0.12	0.06	0.3	0.44
SWGCP_only_5000/SWlin2006.15186.cnf	0.24	0.42	0.08	0.12	0.42	0.18	0.1	0.34	0.4	0.44	0.14	0.62	0.7	0.4	0.1	0.5	0.14	0.12	0.76	1.58
SWGCP_only_5000/SWlin2006.15187.cnf	0.2	0.5	0.08	0.1	0.32	0.32	0.1	0.28	0.32	0.36	0.1	0.54	0.78	0.44	0.06	0.5	0.26	0.1	0.66	1.46
SWGCP_only_5000/SWlin2006.15188.cnf	0.16	0.38	0.04	0.08	0.18	0.16	0.06	0.16	0.22	0.16	0.06	0.24	0.38	0.26	0.06	0.22	0.14	0.08	0.36	0.52
SWGCP_only_5000/SWlin2006.15189.cnf	0.16	0.06	0.08	0.08	0.04	0.22	0.02	0.06	0.3	0.26	0.08	0.36	0.02	0.02	0.04	0.22	0.04	0.06	0.46	0.74
SWGCP_only_5000/SWlin2006.15190.cnf	0.28	0.48	0.1	0.1	0.36	0.4	0.12	0.34	0.48	0.34	0.12	0.6	0.7	0.68	0.1	0.52	0.26	0.12	0.76	1.62
SWGCP_only_5000/SWlin2006.15191.cnf	0.24	0.48	0.1	0.12	0.48	0.4	0.1	0.36	0.56	0.42	0.12	0.54	0.74	0.52	0.1	0.54	0.3	0.12	0.72	1.8
SWGCP_only_5000/SWlin2006.15192.cnf	0.12	0.16	0.08	0.08	0.24	0.22	0.1	0.2	0.18	0.2	0.08	0.32	0.22	0.2	0.08	0.26	0.14	0.08	0.38	0.82
SWGCP_only_5000/SWlin2006.15193.cnf	0.24	0.48	0.1	0.12	0.34	0.38	0.12	0.36	0.44	0.36	0.12	0.48	0.68	0.44	0.12	0.56	0.26	0.1	0.74	1.96
SWGCP_only_5000/SWlin2006.15194.cnf	0.16	0.36	0.08	0.08	0.32	0.34	0.08	0.28	0.38	0.24	0.1	0.4	0.7	0.38	0.08	0.36	0.2	0.1	0.56	1.08
SWGCP_only_5000/SWlin2006.15195.cnf	0.28	0.7	0.12	0.1	0.38	0.4	0.1	0.34	0.12	0.48	0.14	0.64	0.9	0.1	0.12	0.42	0.28	0.14	0.7	1.78
SWGCP_only_5000/SWlin2006.15196.cnf	0.16	0.04	0.08	0.06	0.2	0.2	0.08	0.04	0.1	0.1	0.08	0.04	0.16	0.04	0.06	0.28	0.02	0.06	0.1	0.62
SWGCP_only_5000/SWlin2006.15197.cnf	0.18	0.02	0.08	0.06	0.26	0.28	0.08	0.26	0.36	0.3	0.08	0.12	0.46	0.3	0.06	0.36	0.22	0.1	0.7	0.96
SWGCP_only_5000/SWlin2006.15198.cnf	0.22	0.38	0.1	0.1	0.32	0.28	0.1	0.28	0.36	0.28	0.1	0.38	0.46	0.4	0.08	0.4	0.22	0.1	0.6	1.14
SWGCP_only_5000/SWlin2006.15199.cnf	0.22	0.8	0.1	0.1	0.36	0.36	0.1	0.34	0.4	0.36	0.14	0.6	0.62	0.22	0.1	0.56	0.28	0.12	0.92	1.56
SWGCP_only_5000/SWlin2006.15200.cnf	0.22	0.54	0.08	0.08	0.36	0.34	0.1	0.3	0.36	0.34	0.1	0.48	0.38	0.42	0.08	0.44	0.22	0.1	0.64	1.34
SWGCP_only_5000/SWlin2006.15201.cnf	0.2	0.22	0.08	0.1	0.36	0.36	0.1	0.3	0.06	0.38	0.12	0.18	0.72	0.08	0.1	0.5	0.26	0.1	0.62	1.28
SWGCP_only_5000/SWlin2006.15202.cnf	0.14	0.22	0.06	0.08	0.24	0.22	0.06	0.2	0.22	0.24	0.1	0.28	0.3	0.26	0.08	0.28	0.18	0.08	0.48	0.78
SWGCP_only_5000/SWlin2006.15203.cnf	0.24	0.48	0.1	0.12	0.36	0.34	0.12	0.3	0.34	0.36	0.12	0.64	0.54	0.52	0.12	0.42	0.24	0.12	0.7	1.9
SWGCP_only_5000/SWlin2006.15204.cnf	0.16	0.72	0.08	0.08	0.34	0.32	0.06	0.16	0.06	0.36	0.1	0.56	0.72	0.04	0.08	0.32	0.1	0.08	0.1	1.16
SWGCP_only_5000/SWlin2006.15205.cnf	0.24	0.66	0.1	0.1	0.42	0.48	0.12	0.4	0.52	0.42	0.14	0.7	0.82	0.48	0.12	0.38	0.26	0.12	1.12	1.66
SWGCP_only_5000/SWlin2006.15206.cnf	0.26	0.68	0.1	0.1	0.42	0.36	0.1	0.36	0.06	0.44	0.1	0.58	0.72	0.6	0.1	0.48	0.2	0.1	0.86	1.5
SWGCP_only_5000/SWlin2006.15207.cnf	0.2	0.44	0.1	0.1	0.42	0.36	0.12	0.32	0.4	0.38	0.12	0.44	0.7	0.44	0.08	0.42	0.26	0.1	0.58	1.54
SWGCP_only_5000/SWlin2006.15208.cnf	0.14	0.26	0.06	0.08	0.22	0.2	0.08	0.18	0.28	0.2	0.08	0.32	0.4	0.26	0.06	0.24	0.14	0.08	0.4	0.68
SWGCP_only_5000/SWlin2006.15209.cnf	0.08	0.04	0.08	0.08	0.22	0.3	0.12	0.28	0.38	0.38	0.1	0.5	0.16	0.48	0.08	0.38	0.24	0.08	0.48	1.06
SWGCP_only_5000/SWlin2006.15210.cnf	0.2	0.72	0.08	0.1	0.42	0.08	0.1	0.34	0.5	0.14	0.12	0.48	0.62	0.44	0.1	0.52	0.24	0.08	0.88	1.44
SWGCP_only_5000/SWlin2006.15211.cnf	0.28	0.46	0.12	0.1	0.36	0.48	0.14	0.4	0.12	0.36	0.14	0.74	0.4	0.54	0.12	0.6	0.28	0.12	0.94	1.8
SWGCP_only_5000/SWlin2006.15212.cnf	0.1	0.34	0.06	0.06	0.2	0.2	0.06	0.16	0.26	0.18	0.08	0.28	0.38	0.28	0.04	0.24	0.14	0.08	0.38	0.58
SWGCP_only_5000/SWlin2006.15213.cnf	0.28	0.84	0.08	0.1	0.06	0.2	0.12	0.34	0.6	0.2	0.14	0.58	0.84	0.66	0.08	0.58	0.3	0.1	0.82	1.62
SWGCP_only_5000/SWlin2006.15214.cnf	0.02	0.04	0.04	0.06	0.02	0.08	0.02	0.1	0.04	0.0	0.06	0.02	0.02	0.12	0.06	0.04	0.0	0.08	0.06	0.46
SWGCP_only_5000/SWlin2006.15215.cnf	0.16	0.32	0.04	0.08	0.26	0.24	0.1	0.24	0.28	0.28	0.1	0.42	0.38	0.28	0.08	0.34	0.18	0.1	0.64	0.94
SWGCP_only_5000/SWlin2006.15216.cnf	0.14	0.06	0.06	0.06	0.16	0.24	0.08	0.24	0.34	0.32	0.08	0.46	0.06	0.42	0.06	0.38	0.18	0.1	0.18	0.92
SWGCP_only_5000/SWlin2006.15217.cnf	0.28	0.42	0.1	0.1	0.42	0.38	0.12	0.36	0.48	0.4	0.14	0.6	0.74	0.44	0.08	0.52	0.32	0.12	0.84	1.68
SWGCP_only_5000/SWlin2006.15218.cnf	0.18	0.46	0.06	0.08	0.32	0.26	0.08	0.28	0.32	0.28	0.1	0.4	0.52	0.42	0.08	0.36	0.2	0.1	0.5	1.0
SWGCP_only_5000/SWlin2006.15219.cnf	0.24	0.58	0.1	0.1	0.4	0.12	0.12	0.32	0.42	0.18	0.12	0.1	0.46	0.14	0.1	0.48	0.28	0.1	0.7	1.48
SWGCP_only_5000/SWlin2006.15220.cnf	0.14	0.18	0.06	0.08	0.22	0.22	0.06	0.2	0.2	0.24	0.06	0.34	0.2	0.18	0.06	0.26	0.14	0.08	0.44	0.72
SWGCP_only_5000/SWlin2006.15221.cnf	0.14	0.42	0.06	0.04	0.22	0.22	0.08	0.18	0.26	0.18	0.08	0.32	0.32	0.26	0.06	0.26	0.18	0.08	0.5	0.66
SWGCP_only_5000/SWlin2006.15222.cnf	0.1	0.02	0.08	0.06	0.04	0.02	0.06	0.2	0.26	0.28	0.08	0.34	0.04	0.34	0.04	0.06	0.2	0.08	0.02	0.78
SWGCP_only_5000/SWlin2006.15223.cnf	0.2	0.34	0.08	0.1	0.34	0.28	0.1	0.3	0.28	0.36	0.08	0.42	0.44	0.36	0.08	0.4	0.2	0.08	0.68	1.22
SWGCP_only_5000/SWlin2006.15224.cnf	0.28	0.28	0.1	0.12	0.4	0.4	0.14	0.32	0.48	0.48	0.14	0.52	1.04	0.5	0.1	0.5	0.3	0.1	0.82	1.92
SWGCP_only_5000/SWlin2006.15225.cnf	0.16	0.34	0.06	0.06	0.24	0.18	0.08	0.2	0.26	0.22	0.08	0.34	0.44	0.3	0.08	0.28	0.16	0.06	0.46	0.74
SWGCP_only_5000/SWlin2006.15226.cnf	0.14	0.38	0.04	0.06	0.22	0.22	0.08	0.18	0.28	0.26	0.06	0.34	0.46	0.32	0.08	0.26	0.14	0.08	0.42	0.68
SWGCP_only_5000/SWlin2006.15227.cnf	0.18	0.36	0.08	0.08	0.28	0.28	0.1	0.24	0.4	0.28	0.1	0.44	0.58	0.3	0.08	0.3	0.18	0.12	0.64	1.08
SWGCP_only_5000/SWlin2006.15228.cnf	0.26	0.52	0.1	0.12	0.54	0.46	0.1	0.38	0.1	0.42	0.12	0.52	0.68	0.64	0.1	0.62	0.3	0.12	0.96	1.96
SWGCP_only_5000/SWlin2006.15229.cnf	0.14	0.18	0.06	0.08	0.24	0.24	0.08	0.24	0.2	0.22	0.08	0.34	0.22	0.2	0.06	0.34	0.12	0.1	0.48	0.96
SWGCP_only_5000/SWlin2006.15230.cnf	0.14	0.38	0.08	0.06	0.26	0.22	0.08	0.2	0.32	0.24	0.08	0.36	0.38	0.24	0.04	0.28	0.18	0.08	0.52	0.72
